time_s,discharge_cms
0.0,75.0
10.0,655.02
20.0,1278.1
30.0,1870.79
40.0,2434.57
50.0,2970.85
60.0,3480.99
70.0,3966.24
80.0,4427.82
90.0,4866.9
100.0,5284.56
110.0,5681.85
120.0,6059.76
130.0,6419.25
140.0,6761.2
150.0,7086.47
160.0,7395.88
170.0,7690.2
180.0,7970.17
190.0,8236.48
200.0,8489.81
210.0,8730.77
220.0,8959.99
230.0,9178.03
240.0,9385.43
250.0,9582.72
260.0,9770.39
270.0,9948.9
280.0,10118.71
290.0,10280.24
300.0,10433.89
310.0,10580.04
320.0,10719.07
330.0,10851.31
340.0,10977.11
350.0,11096.77
360.0,11210.6
370.0,11318.87
380.0,11421.87
390.0,11519.84
400.0,11613.03
410.0,11701.68
420.0,11786.0
430.0,11866.21
440.0,11942.51
450.0,12015.09
460.0,12084.13
470.0,12149.8
480.0,12212.27
490.0,12271.69
500.0,12328.22
510.0,12381.98
520.0,12433.13
530.0,12481.78
540.0,12528.06
550.0,12572.08
560.0,12613.95
570.0,12653.79
580.0,12691.67
590.0,12727.72
600.0,12762.0
610.0,12446.91
620.0,12139.59
630.0,11839.86
640.0,11547.54
650.0,11262.43
660.0,10984.36
670.0,10713.15
680.0,10448.64
690.0,10190.66
700.0,9939.06
710.0,9693.66
720.0,9454.32
730.0,9220.89
740.0,8993.23
750.0,8771.19
760.0,8554.62
770.0,8343.41
780.0,8137.41
790.0,7936.5
800.0,7740.54
810.0,7549.43
820.0,7363.03
830.0,7181.24
840.0,7003.93
850.0,6831.01
860.0,6662.35
870.0,6497.85
880.0,6337.42
890.0,6180.95
900.0,6028.34
910.0,5879.5
920.0,5734.34
930.0,5592.75
940.0,5454.67
950.0,5319.99
960.0,5188.64
970.0,5060.53
980.0,4935.59
990.0,4813.73
1000.0,4694.88
1010.0,4578.96
1020.0,4465.91
1030.0,4355.64
1040.0,4248.1
1050.0,4143.21
1060.0,4040.92
1070.0,3941.15
1080.0,3843.84
1090.0,3748.94
1100.0,3656.37
1110.0,3566.1
1120.0,3478.05
1130.0,3392.18
1140.0,3308.42
1150.0,3226.74
1160.0,3147.07
1170.0,3069.37
1180.0,2993.59
1190.0,2919.67
1200.0,2847.59
1210.0,2777.28
1220.0,2708.71
1230.0,2641.83
1240.0,2576.6
1250.0,2512.99
1260.0,2450.94
1270.0,2390.43
1280.0,2331.41
1290.0,2273.84
1300.0,2217.7
1310.0,2162.95
1320.0,2109.54
1330.0,2057.46
1340.0,2006.66
1350.0,1957.12
1360.0,1908.79
1370.0,1861.67
1380.0,1815.7
1390.0,1770.87
1400.0,1727.15
1410.0,1684.51
1420.0,1642.91
1430.0,1602.35
1440.0,1562.79
1450.0,1524.2
1460.0,1486.57
1470.0,1449.87
1480.0,1414.07
1490.0,1379.16
1500.0,1345.1
1510.0,1311.89
1520.0,1279.5
1530.0,1247.91
1540.0,1217.1
1550.0,1187.05
1560.0,1157.74
1570.0,1129.16
1580.0,1101.28
1590.0,1074.09
1600.0,1047.57
1610.0,1021.7
1620.0,996.48
1630.0,971.88
1640.0,947.88
1650.0,924.48
1660.0,901.65
1670.0,879.39
1680.0,857.68
1690.0,836.5
1700.0,815.85
1710.0,795.7
1720.0,776.06
1730.0,756.9
1740.0,738.21
1750.0,719.98
1760.0,702.21
1770.0,684.87
1780.0,667.96
1790.0,651.47
1800.0,635.38
